CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,LBRRY_CO,MUSEUM_CO,ARTGR_CO,PRFPLC_CO,ALL_CTLSTT_CO,LBRRY_RT,MUSEUM_RT,ARTGR_RT,PRFPLC_RT,ALL_CLTUR_RT,FILE_NM,BASE_DE
강원특별자치도,춘천시,51110,81223,10,13,4,56,83,1.23117E-4,1.60053E-4,4.9247E-5,6.89459E-4,0.001021878,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,원주시,51130,94023,5,9,2,38,54,5.3178E-5,9.5721E-5,2.1271E-5,4.04156E-4,5.74327E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,강릉시,51150,49055,4,17,3,44,68,8.1541E-5,3.46549E-4,6.1155E-5,8.96952E-4,0.001386199,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,동해시,51170,18182,3,1,1,12,17,1.64998E-4,5.4999E-5,5.4999E-5,6.59993E-4,9.3499E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,태백시,51190,6170,3,2,0,4,9,4.86223E-4,3.24149E-4,0.0,6.48298E-4,0.00145867,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,속초시,51210,17858,3,2,1,14,20,1.67991E-4,1.11994E-4,5.5997E-5,7.83962E-4,0.001119946,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,삼척시,51230,10436,3,4,0,2,9,2.87466E-4,3.83288E-4,0.0,1.91644E-4,8.62399E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,홍천군,51720,12795,5,2,0,6,13,3.90777E-4,1.56311E-4,0.0,4.68933E-4,0.001016021,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,횡성군,51730,7307,3,1,0,2,6,4.10565E-4,1.36855E-4,0.0,2.7371E-4,8.2113E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,영월군,51750,4968,2,21,2,2,27,4.02576E-4,0.004227053,4.02576E-4,4.02576E-4,0.005434782,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,평창군,51760,6425,5,4,0,18,27,7.7821E-4,6.22568E-4,0.0,0.002801556,0.004202334,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,정선군,51770,5017,2,5,1,8,16,3.98644E-4,9.96611E-4,1.99322E-4,0.001594578,0.003189156,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,철원군,51780,9640,4,0,0,14,18,4.14937E-4,0.0,0.0,0.001452282,0.001867219,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,화천군,51790,4680,2,2,0,4,8,4.2735E-4,4.2735E-4,0.0,8.547E-4,0.001709401,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,양구군,51800,4722,1,5,1,8,15,2.11774E-4,0.001058873,2.11774E-4,0.001694197,0.00317662,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,인제군,51810,6493,2,6,2,10,20,3.08024E-4,9.24072E-4,3.08024E-4,0.00154012,0.00308024,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,고성군,51820,5656,3,5,3,16,27,5.3041E-4,8.84016E-4,5.3041E-4,0.002828854,0.004773691,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
강원특별자치도,양양군,51830,4160,1,1,1,2,5,2.40384E-4,2.40384E-4,2.40384E-4,4.80769E-4,0.001201923,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경기도,수원시 장안구,41111,82704,5,0,0,10,15,6.0456E-5,0.0,0.0,1.20913E-4,1.81369E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경기도,수원시 권선구,41113,113225,7,0,0,10,17,6.1823E-5,0.0,0.0,8.8319E-5,1.50143E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
경기도,수원시 팔달구,41115,67565,6,2,2,42,52,8.8803E-5,2.9601E-5,2.9601E-5,6.21623E-4,7.69629E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
